Team,Stadion,Kapazität,Liga
,SIGNAL IDUNA PARK,Dortmund,1. Bundesliga
,Allianz Arena,München,1. Bundesliga
,MHPArena Stuttgart,Stuttgart,1. Bundesliga
,Deutsche Bank Park,Frankfurt (Main),1. Bundesliga
,Volksparkstadion,Hamburg,1. Bundesliga
,Stadion im Borussia-Park,Mönchengladbach,1. Bundesliga
,RheinEnergieSTADION,Köln,1. Bundesliga
,Red Bull Arena,Leipzig,1. Bundesliga
,Weserstadion,Bremen,1. Bundesliga
,Europa-Park Stadion,Freiburg,1. Bundesliga
,Mewa Arena,Mainz,1. Bundesliga
,WWK ARENA,Augsburg,1. Bundesliga
,BayArena,Leverkusen,1. Bundesliga
,PreZero Arena,Sinsheim,1. Bundesliga
,Millerntor-Stadion,Hamburg,1. Bundesliga
,Volkswagen Arena,Wolfsburg,1. Bundesliga
,Stadion An der Alten Försterei,Berlin,1. Bundesliga
,Voith-Arena,Heidenheim,1. Bundesliga
,Bayern München,9,1. Bundesliga
,RB Leipzig,9,1. Bundesliga
,Bor. Dortmund,9,1. Bundesliga
,VfB Stuttgart,9,1. Bundesliga
,B. Leverkusen,9,1. Bundesliga
,TSG Hoffenheim,9,1. Bundesliga
,1.FC Köln,9,1. Bundesliga
,E. Frankfurt,9,1. Bundesliga
,Werder Bremen,9,1. Bundesliga
,Union Berlin,9,1. Bundesliga
,SC Freiburg,9,1. Bundesliga
,VfL Wolfsburg,9,1. Bundesliga
,Hamburger SV,9,1. Bundesliga
,FC Augsburg,9,1. Bundesliga
,FC St. Pauli,9,1. Bundesliga
,Bor. M'gladbach,9,1. Bundesliga
,1.FSV Mainz 05,9,1. Bundesliga
,1.FC Heidenheim,9,1. Bundesliga
,Olympiastadion Berlin,Berlin,2. Bundesliga
,Veltins-Arena,Gelsenkirchen,2. Bundesliga
,MERKUR SPIEL-ARENA,Düsseldorf,2. Bundesliga
,Max-Morlock-Stadion,Nürnberg,2. Bundesliga
,Fritz-Walter-Stadion,Kaiserslautern,2. Bundesliga
,Heinz-von-Heiden-Arena,Hannover,2. Bundesliga
,BBBank Wildpark,Karlsruhe,2. Bundesliga
,Rudolf-Harbig-Stadion,Dresden,2. Bundesliga
,Avnet-Arena,Magdeburg,2. Bundesliga
,SchücoArena,Bielefeld,2. Bundesliga
,Vonovia Ruhrstadion,Bochum,2. Bundesliga
,EINTRACHT-Stadion,Braunschweig,2. Bundesliga
,Merck-Stadion am Böllenfalltor,Darmstadt,2. Bundesliga
,Sportpark Ronhof | Thomas Sommer,Fürth,2. Bundesliga
,Holstein-Stadion,Kiel,2. Bundesliga
,Home Deluxe Arena,Paderborn,2. Bundesliga
,LVM-Preußenstadion,Münster,2. Bundesliga
,Ursapharm-Arena an der Kaiserlinde,Spiesen-Elversberg,2. Bundesliga
,SC Paderborn,11,2. Bundesliga
,FC Schalke 04,11,2. Bundesliga
,SV Elversberg,11,2. Bundesliga
,Hannover 96,11,2. Bundesliga
,Karlsruher SC,11,2. Bundesliga
,1.FC K'lautern,11,2. Bundesliga
,Darmstadt 98,11,2. Bundesliga
,Hertha BSC,11,2. Bundesliga
,Arm. Bielefeld,11,2. Bundesliga
,Pr. Münster,11,2. Bundesliga
,Holstein Kiel,11,2. Bundesliga
,1.FC Nürnberg,11,2. Bundesliga
,F. Düsseldorf,11,2. Bundesliga
,VfL Bochum,11,2. Bundesliga
,E. Braunschweig,11,2. Bundesliga
,Greuther Fürth,11,2. Bundesliga
,Dynamo Dresden,11,2. Bundesliga
,1.FC Magdeburg,11,2. Bundesliga
,Tivoli,Aachen,3. Liga
,Schauinsland-Reisen-Arena,Duisburg,3. Liga
,Ostseestadion,Rostock,3. Liga
,Carl-Benz-Stadion,Mannheim,3. Liga
,LEAG Energie Stadion,Cottbus,3. Liga
,Stadion an der Hafenstraße,Essen,3. Liga
,Eilenriedestadion,Hannover,3. Liga
,Donaustadion,Ulm,3. Liga
,Riedel Bau Arena im Sachs Stadion,Schweinfurt,3. Liga
,Bremer Brücke,Osnabrück,3. Liga
,Ludwigsparkstadion,Saarbrücken,3. Liga
,eins Erzgebirgsstadion,Aue-Bad Schlema,3. Liga
,Jahnstadion Regensburg,Regensburg,3. Liga
,Audi Sportpark,Ingolstadt,3. Liga
,Städtisches Stadion an der Grünwalder Straße,München-Giesing,3. Liga
,BRITA-Arena,Wiesbaden,3. Liga
,Sportpark Höhenberg,Köln,3. Liga
,WIRmachenDRUCK Arena,Großaspach,3. Liga
,Dietmar-Hopp-Stadion,Sinsheim-Hoffenheim,3. Liga
,SPORTCLUB Arena,Verl,3. Liga
,MSV Duisburg,13,3. Liga
,Energie Cottbus,13,3. Liga
,SC Verl,13,3. Liga
,VfL Osnabrück,13,3. Liga
,RW Essen,13,3. Liga
,Hoffenheim II,13,3. Liga
,Stuttgart II,13,3. Liga
,Viktoria Köln,13,3. Liga
,W. Mannheim,13,3. Liga
,Saarbrücken,13,3. Liga
,Wehen Wiesbaden,13,3. Liga
,Hansa Rostock,13,3. Liga
,1860 München,13,3. Liga
,FC Ingolstadt,13,3. Liga
,Alem. Aachen,13,3. Liga
,Erzgebirge Aue,13,3. Liga
,J. Regensburg,13,3. Liga
,SSV Ulm 1846,13,3. Liga
,TSV Havelse,13,3. Liga
,Schweinfurt 05,13,3. Liga
