service_id,exception_type,date
100,2,20251116
1001,2,20251110
1001,2,20251111
1001,2,20251121
1001,2,20251130
1003,2,20251128
1003,2,20251130
1006,1,20251110
1006,1,20251123
1007,1,20251129
1007,1,20251130
101,2,20251115
1011,1,20251128
1011,1,20251205
1011,1,20251206
1011,1,20251207
1011,2,20251117
1011,2,20251118
1012,1,20251129
1012,1,20251205
1012,1,20251206
1012,2,20251110
1012,2,20251116
1012,2,20251120
1012,2,20251125
1012,2,20251126
1012,2,20251207
1013,1,20251208
1013,2,20251117
1013,2,20251118
1013,2,20251119
1013,2,20251120
1014,1,20251110
1014,1,20251111
1014,2,20251113
1014,2,20251116
1017,1,20251112
1017,1,20251125
1017,2,20251127
1020,1,20251204
1020,1,20251208
1020,1,20251209
1020,2,20251122
1020,2,20251130
103,1,20251109
103,1,20251111
103,1,20251112
104,1,20251112
104,1,20251119
104,1,20251121
104,1,20251124
104,1,20251125
109,1,20251121
109,1,20251203
112,2,20251208
113,1,20251129
115,2,20251111
116,1,20251207
119,2,20251201
12,2,20251123
121,1,20251203
121,2,20251205
122,1,20251129
122,1,20251130
124,1,20251116
127,1,20251122
127,1,20251205
127,1,20251206
127,1,20251208
127,1,20251209
127,2,20251113
127,2,20251114
127,2,20251117
127,2,20251118
128,2,20251114
128,2,20251115
128,2,20251116
128,2,20251118
129,1,20251121
129,1,20251205
129,1,20251206
129,1,20251207
129,1,20251208
129,1,20251209
13,1,20251207
13,2,20251116
13,2,20251117
13,2,20251118
130,1,20251128
130,2,20251113
130,2,20251115
130,2,20251116
130,2,20251117
130,2,20251118
130,2,20251201
130,2,20251202
131,1,20251111
131,1,20251122
131,1,20251204
131,1,20251206
131,1,20251207
131,1,20251208
131,1,20251209
131,2,20251113
131,2,20251114
131,2,20251116
131,2,20251117
138,1,20251109
138,1,20251110
138,1,20251111
138,1,20251112
138,1,20251113
139,1,20251128
14,1,20251110
14,1,20251204
14,2,20251208
140,1,20251205
140,2,20251117
140,2,20251122
140,2,20251123
141,1,20251130
141,2,20251124
141,2,20251125
141,2,20251126
141,2,20251127
142,2,20251111
142,2,20251112
145,1,20251109
146,1,20251110
148,2,20251111
148,2,20251112
149,2,20251130
150,2,20251119
153,2,20251121
153,2,20251203
156,1,20251204
156,1,20251205
158,1,20251119
158,2,20251123
16,2,20251122
165,1,20251119
168,1,20251117
168,1,20251122
169,1,20251116
17,2,20251123
171,1,20251124
171,1,20251125
171,1,20251126
171,1,20251127
171,1,20251208
171,1,20251209
172,2,20251114
172,2,20251115
172,2,20251125
172,2,20251207
174,1,20251208
174,1,20251209
175,1,20251204
175,1,20251209
175,2,20251124
176,1,20251110
176,1,20251116
176,1,20251125
176,1,20251126
176,2,20251121
178,2,20251130
179,1,20251109
179,1,20251129
179,1,20251130
179,2,20251114
179,2,20251117
179,2,20251119
18,1,20251112
181,2,20251202
182,2,20251118
182,2,20251124
182,2,20251127
182,2,20251128
182,2,20251129
183,1,20251121
183,2,20251113
184,2,20251129
185,2,20251115
186,1,20251118
186,2,20251120
187,1,20251110
187,1,20251111
187,1,20251112
187,1,20251118
187,1,20251119
187,1,20251120
187,1,20251123
187,1,20251209
187,2,20251201
189,1,20251208
189,1,20251209
19,2,20251114
190,1,20251110
191,1,20251109
191,1,20251110
191,1,20251111
192,1,20251119
193,1,20251125
194,2,20251206
195,1,20251127
195,1,20251208
195,1,20251209
198,2,20251116
198,2,20251121
198,2,20251123
199,1,20251116
199,1,20251123
201,1,20251114
202,1,20251109
202,1,20251129
202,1,20251130
203,1,20251109
203,1,20251110
203,1,20251111
203,1,20251112
203,1,20251113
204,1,20251121
204,1,20251207
206,2,20251205
206,2,20251206
206,2,20251207
207,1,20251109
207,1,20251110
207,1,20251111
207,1,20251112
207,1,20251113
207,1,20251114
208,1,20251126
208,1,20251127
208,1,20251128
210,1,20251122
211,1,20251110
211,1,20251128
212,2,20251113
212,2,20251114
212,2,20251115
212,2,20251116
212,2,20251117
214,1,20251122
214,1,20251205
214,1,20251206
214,1,20251207
214,1,20251208
214,1,20251209
214,2,20251113
214,2,20251114
214,2,20251116
214,2,20251117
214,2,20251118
215,2,20251113
215,2,20251114
215,2,20251117
215,2,20251118
215,2,20251125
215,2,20251126
216,1,20251109
216,1,20251127
216,1,20251128
216,1,20251203
217,2,20251110
217,2,20251116
217,2,20251120
217,2,20251125
217,2,20251126
218,1,20251113
218,1,20251114
219,2,20251117
219,2,20251118
219,2,20251119
222,2,20251121
222,2,20251127
227,1,20251129
227,1,20251130
227,1,20251206
227,1,20251207
228,1,20251109
228,1,20251110
228,1,20251111
228,1,20251123
229,1,20251207
23,1,20251209
23,2,20251116
234,1,20251110
234,1,20251112
234,1,20251113
234,1,20251114
234,1,20251209
238,1,20251129
239,1,20251110
239,1,20251112
239,1,20251113
239,1,20251114
239,1,20251201
24,1,20251208
24,1,20251209
240,1,20251109
240,1,20251110
240,1,20251130
240,1,20251204
240,1,20251208
240,1,20251209
242,1,20251130
242,1,20251205
243,1,20251126
243,1,20251204
243,2,20251125
246,1,20251109
246,1,20251110
246,1,20251122
247,1,20251207
248,2,20251116
249,1,20251117
249,1,20251204
252,1,20251122
254,2,20251113
254,2,20251114
254,2,20251117
254,2,20251118
255,1,20251115
255,1,20251206
257,1,20251109
257,2,20251113
257,2,20251117
257,2,20251118
257,2,20251124
257,2,20251125
259,2,20251124
263,1,20251111
264,1,20251208
264,1,20251209
265,1,20251114
266,2,20251205
267,1,20251110
269,1,20251207
27,1,20251115
27,1,20251129
27,2,20251123
27,2,20251207
272,2,20251129
273,1,20251129
273,1,20251130
275,1,20251209
276,1,20251205
276,1,20251208
276,1,20251209
277,1,20251122
277,1,20251129
277,2,20251114
277,2,20251117
277,2,20251118
277,2,20251119
279,1,20251109
279,1,20251110
280,1,20251111
280,1,20251124
280,2,20251208
283,1,20251123
284,1,20251109
284,1,20251130
287,2,20251129
287,2,20251130
287,2,20251201
287,2,20251202
287,2,20251203
287,2,20251204
291,1,20251207
291,1,20251208
291,1,20251209
292,1,20251129
292,1,20251207
292,1,20251209
293,2,20251117
293,2,20251204
294,2,20251113
294,2,20251114
294,2,20251115
294,2,20251116
294,2,20251117
294,2,20251118
297,2,20251117
297,2,20251118
297,2,20251119
297,2,20251205
298,1,20251209
299,2,20251115
30,1,20251110
30,1,20251111
30,1,20251126
303,1,20251208
303,1,20251209
307,1,20251208
307,1,20251209
31,1,20251123
31,1,20251130
31,1,20251207
31,1,20251208
31,1,20251209
31,2,20251115
312,1,20251128
313,1,20251130
314,2,20251124
316,1,20251122
321,1,20251110
321,1,20251111
321,1,20251118
322,1,20251111
322,1,20251112
322,1,20251119
322,1,20251121
322,1,20251123
322,1,20251124
322,1,20251126
322,1,20251206
322,2,20251130
322,2,20251201
322,2,20251202
323,1,20251110
323,1,20251121
326,1,20251121
326,1,20251122
326,1,20251123
326,1,20251208
326,1,20251209
326,2,20251113
326,2,20251117
326,2,20251118
328,1,20251207
329,2,20251115
329,2,20251116
33,1,20251122
33,1,20251129
330,2,20251206
332,1,20251127
332,2,20251129
335,2,20251113
335,2,20251114
335,2,20251116
335,2,20251117
335,2,20251118
335,2,20251201
336,1,20251112
336,1,20251203
336,1,20251205
337,1,20251110
337,1,20251111
337,1,20251112
337,1,20251113
338,1,20251119
338,1,20251120
339,1,20251122
340,1,20251204
341,1,20251110
341,1,20251206
342,1,20251109
342,1,20251110
342,1,20251111
342,1,20251129
343,2,20251113
343,2,20251122
343,2,20251123
344,1,20251109
344,1,20251121
344,1,20251122
344,1,20251128
344,1,20251129
344,2,20251202
345,1,20251204
346,1,20251122
346,1,20251206
346,2,20251113
346,2,20251114
346,2,20251117
346,2,20251118
346,2,20251201
346,2,20251202
346,2,20251203
348,1,20251114
348,1,20251123
349,1,20251206
35,1,20251115
350,1,20251112
350,1,20251117
350,1,20251124
350,1,20251125
351,2,20251120
351,2,20251129
354,2,20251113
354,2,20251114
354,2,20251115
354,2,20251116
354,2,20251117
354,2,20251118
355,1,20251109
356,1,20251113
356,1,20251116
358,1,20251201
358,1,20251205
358,1,20251209
