route_long_name,route_short_name,agency_id,route_type,route_id
,EC,13,2,78
,EC,2,2,25
,EC,6,2,68
,EC,7,2,42
,EC,9,2,90
,EC 27,10,2,53
,EC 27,9,2,33
,EC 43,10,2,54
,EC 43,7,2,69
,EC 62,10,2,85
,EC 62,2,2,10
,EC 75,10,2,86
,EC 85,10,2,11
,EC 89,10,2,2
,EC 95,1,2,34
,EC 95,10,2,76
,EC 96,1,2,79
,EC 96,10,2,35
,ECE,7,2,26
,ECE 85,10,2,70
,ECE 88,10,2,60
,EN,1,2,91
,EN,12,2,28
,EN,2,2,27
,EN,5,2,47
,EN,6,2,18
,EN,9,2,12
,IC,1,2,38
,IC,11,2,48
,IC,13,2,49
,IC,2,2,92
,IC,3,2,19
,IC,7,2,20
,IC 17,10,2,71
,IC 18,10,2,36
,IC 26,10,2,61
,IC 27,10,2,39
,IC 32,10,2,37
,IC 34,10,2,80
,IC 35,10,2,30
,IC 39,10,2,50
,IC 51,10,2,81
,IC 55,10,2,43
,IC 56,10,2,87
,IC 57,10,2,62
,IC 6,7,2,55
,IC 61,10,2,13
,IC 62,10,2,21
,IC 77,10,2,14
,IC 87,10,2,56
,IC 90,10,2,88
,ICE,2,2,3
,ICE,7,2,63
,ICE,8,2,40
,ICE 10,10,2,57
,ICE 11,10,2,72
,ICE 12,10,2,64
,ICE 13,10,2,51
,ICE 14,10,2,7
,ICE 15,10,2,93
,ICE 16,10,2,23
,ICE 18,10,2,41
,ICE 19,10,2,8
,ICE 20,10,2,77
,ICE 21,10,2,29
,ICE 22,10,2,31
,ICE 24,10,2,4
,ICE 25,10,2,22
,ICE 26,10,2,65
,ICE 27,10,2,89
,ICE 28,10,2,83
,ICE 29,10,2,9
,ICE 32,10,2,44
,ICE 39,10,2,66
,ICE 4,10,2,67
,ICE 41,10,2,58
,ICE 42,10,2,32
,ICE 43,10,2,16
,ICE 45,10,2,82
,ICE 47,10,2,84
,ICE 49,10,2,5
,ICE 50,10,2,45
,ICE 60,10,2,73
,ICE 62,10,2,15
,ICE 77,10,2,52
,ICE 78,10,2,94
,ICE 79,10,2,74
,ICE 8,10,2,6
,ICE 82,10,2,1
,ICE 82,4,2,17
,ICE 83,10,2,46
,ICE 83,4,2,75
,ICE 9,10,2,24
,ICE 91,10,2,59
