trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
1010906,17:13:00,17:13:00,281610,0,,
1010906,17:19:00,17:19:00,554967,1,1,1
1010906,17:19:00,17:20:00,19753,2,1,1
1010906,17:53:00,17:55:00,162374,3,,
1010906,18:18:00,18:20:00,448145,4,,
1010906,18:59:00,18:59:00,661728,5,,
1192512,11:41:00,11:41:00,444314,0,,
1192512,11:50:00,11:54:00,81409,1,,1
1192512,12:10:00,12:12:00,6540,2,,1
1192512,15:52:00,15:53:00,414304,3,,
1192512,17:06:00,17:07:00,162374,4,,
1192512,17:50:00,17:50:00,554967,5,1,1
1192512,17:53:00,17:53:00,281610,6,,
1266608,19:00:00,19:00:00,345876,0,,
1266608,19:41:00,19:43:00,510940,1,,
1266608,20:22:00,20:24:00,448145,2,,
1266608,21:05:00,21:05:00,661728,3,,
1287321,08:57:00,08:57:00,661728,0,,
1287321,09:40:00,09:41:00,448145,1,,
1287321,10:22:00,10:23:00,510940,2,,
1287321,11:00:00,11:00:00,182044,3,,
145794,20:59:00,20:59:00,345876,0,,
145794,21:35:00,21:37:00,510940,1,,
145794,22:16:00,22:18:00,448145,2,,
145794,22:59:00,22:59:00,661728,3,,
1521092,20:59:00,20:59:00,345876,0,,
1521092,21:35:00,21:37:00,510940,1,,
1521092,22:19:00,22:23:00,448145,2,,
1521092,23:23:00,23:23:00,661728,3,,
16463,06:56:00,06:56:00,661728,0,,
16463,07:38:00,07:40:00,448145,1,,
16463,08:21:00,08:22:00,510940,2,,
16463,08:59:00,08:59:00,182044,3,,
180371,15:00:00,15:00:00,345876,0,,
180371,15:35:00,15:37:00,510940,1,,
180371,16:16:00,16:18:00,448145,2,,
180371,16:59:00,16:59:00,661728,3,,
227616,20:59:00,20:59:00,345876,0,,
227616,21:35:00,21:37:00,510940,1,,
227616,22:16:00,22:18:00,448145,2,,
227616,23:19:00,23:19:00,661728,3,,
228243,18:41:00,18:41:00,661728,0,,
228243,19:30:00,19:40:00,448145,1,,
228243,20:21:00,20:22:00,510940,2,,
228243,20:59:00,20:59:00,182044,3,,
233797,06:56:00,06:56:00,661728,0,,
233797,07:38:00,07:40:00,448145,1,,
233797,08:21:00,08:22:00,510940,2,,
233797,08:59:00,08:59:00,182044,3,,
242095,08:56:00,08:56:00,661728,0,,
242095,09:36:00,09:38:00,448145,1,,
242095,10:02:00,10:03:00,162374,2,,
242095,10:44:00,10:44:00,554967,3,1,1
242095,10:47:00,10:47:00,281610,4,,
397387,05:56:00,05:56:00,661728,0,,
397387,06:39:00,06:40:00,448145,1,,
397387,07:21:00,07:22:00,510940,2,,
397387,07:59:00,07:59:00,182044,3,,
476607,17:13:00,17:13:00,281610,0,,
476607,17:19:00,17:19:00,554967,1,1,1
476607,17:19:00,17:20:00,19753,2,1,1
476607,17:53:00,17:55:00,162374,3,,
476607,18:18:00,18:20:00,448145,4,,
476607,18:59:00,18:59:00,661728,5,,
482095,11:46:00,11:46:00,281610,0,,
482095,11:52:00,11:52:00,554967,1,1,1
482095,11:52:00,11:56:00,19753,2,1,1
482095,12:34:00,12:36:00,162374,3,,
482095,14:04:00,14:06:00,414304,4,,
482095,17:46:00,17:48:00,40494,5,1,
482095,18:03:00,18:06:00,409514,6,1,
482095,18:16:00,18:16:00,444314,7,,
502098,15:00:00,15:00:00,345876,0,,
502098,15:35:00,15:37:00,510940,1,,
502098,16:16:00,16:18:00,448145,2,,
502098,16:59:00,16:59:00,661728,3,,
504578,11:46:00,11:46:00,281610,0,,
504578,11:52:00,11:52:00,554967,1,1,1
504578,11:52:00,11:56:00,19753,2,1,1
504578,12:34:00,12:36:00,162374,3,,
504578,14:04:00,14:06:00,414304,4,,
504578,17:46:00,17:48:00,40494,5,1,
504578,18:03:00,18:06:00,409514,6,1,
504578,18:16:00,18:16:00,444314,7,,
536551,15:00:00,15:00:00,345876,0,,
536551,15:41:00,15:43:00,510940,1,,
536551,16:22:00,16:24:00,448145,2,,
536551,17:05:00,17:05:00,661728,3,,
540843,08:56:00,08:56:00,661728,0,,
540843,09:39:00,09:40:00,448145,1,,
540843,10:21:00,10:22:00,510940,2,,
540843,10:59:00,10:59:00,182044,3,,
544064,06:56:00,06:56:00,661728,0,,
544064,07:36:00,07:37:00,448145,1,,
544064,08:05:00,08:06:00,162374,2,,
544064,08:44:00,08:44:00,554967,3,1,1
544064,08:47:00,08:47:00,281610,4,,
735162,11:46:00,11:46:00,281610,0,,
735162,11:52:00,11:52:00,554967,1,1,1
735162,11:52:00,11:56:00,19753,2,,
735162,12:34:00,12:36:00,162374,3,,
735162,14:05:00,14:05:00,661728,4,,
745010,06:56:00,06:56:00,661728,0,,
745010,07:36:00,07:37:00,448145,1,,
745010,08:05:00,08:06:00,162374,2,,
745010,08:44:00,08:44:00,554967,3,1,1
745010,08:47:00,08:47:00,281610,4,,
753413,08:56:00,08:56:00,661728,0,,
753413,09:39:00,09:40:00,448145,1,,
753413,10:21:00,10:22:00,510940,2,,
753413,10:59:00,10:59:00,182044,3,,
761496,19:07:00,19:07:00,136747,0,,
761496,20:53:00,20:59:00,281610,1,,
761496,21:07:00,21:07:00,554967,2,1,1
761496,21:08:00,21:23:00,19753,3,,
761496,22:21:00,22:31:00,448145,4,,
761496,23:19:00,23:19:00,661728,5,,
794656,10:57:00,10:57:00,661728,0,,
794656,11:39:00,11:40:00,448145,1,,
794656,12:21:00,12:22:00,510940,2,,
794656,12:59:00,12:59:00,182044,3,,
805986,06:41:00,06:41:00,661728,0,,
805986,07:30:00,07:40:00,448145,1,,
805986,08:21:00,08:22:00,510940,2,,
805986,08:59:00,08:59:00,182044,3,,
808,10:56:00,10:56:00,661728,0,,
808,11:39:00,11:40:00,448145,1,,
808,12:21:00,12:22:00,510940,2,,
808,12:59:00,12:59:00,182044,3,,
814432,20:59:00,20:59:00,345876,0,,
