stop_name,parent_station,stop_id,stop_lat,stop_lon,location_type,platform_code
's-Hertogenbosch,,78723,51.69054,5.293723,1,
's-Hertogenbosch,78723,612279,51.69054,5.293723,,
Aachen Hbf,559274,278438,50.7678,6.091499,,
Aachen Süd(Gr),,34759,50.731915,6.04541,1,
Aachen Süd(Gr),34759,610545,50.731915,6.04541,,
"Aachen, Hauptbahnhof",,559274,50.767723,6.092051,1,
Aalen Hauptbahnhof,,642243,48.841602,10.096031,1,
Aalen Hbf,642243,554309,48.841015,10.096271,,
Altena(Westf),679961,516747,51.301983,7.668808,,
"Altena, Bahnhof",,679961,51.301983,7.66881,1,
Altenbeken,,639768,51.766434,8.943322,1,
Altenbeken,639768,270976,51.766434,8.943319,,
Amersfoort Centraal,,131677,52.153465,5.373909,1,
Amersfoort Centraal,131677,347683,52.153465,5.373909,,
Amsterdam Centraal,,202222,52.37919,4.899431,1,
Amsterdam Centraal,202222,530938,52.37919,4.899431,,
Amstetten NÖ,,473861,48.121605,14.878112,1,
Amstetten NÖ,473861,444969,48.121605,14.878112,,
Andernach,181680,298000,50.434544,7.404839,,
Andernach Bahnhof,,181680,50.434544,7.40484,1,
Angermünde,272440,633159,53.015793,13.995908,,3
Angermünde,272440,637408,53.01574,13.995672,,5
"Angermünde, Bahnhof",,272440,53.015823,13.995871,1,
Anklam,,501227,53.855984,13.701563,1,
Anklam,501227,3312,53.856102,13.701827,,
Ansbach,,490604,49.29803,10.578246,1,
Ansbach,490604,655528,49.29803,10.578239,,
Apeldoorn,,73525,52.20943,5.968491,1,
Apeldoorn,73525,281657,52.20943,5.968491,,
Apolda,,233693,51.03094,11.526136,1,
Apolda,233693,89000,51.03094,11.526136,,
Arnhem Centraal,,607303,51.98478,5.901003,1,
Arnhem Centraal,607303,677799,51.98478,5.901003,,
Aschaffenburg Hbf,,313305,49.980556,9.1437,1,
Aschaffenburg Hbf,313305,386572,49.980556,9.143697,,
Attnang-Puchheim,,110685,48.012802,13.720719,1,
Attnang-Puchheim,110685,180056,48.012802,13.720719,,
Augsburg Hbf,,333168,48.36544,10.885569,1,
Augsburg Hbf,333168,320503,48.36544,10.88557,,
Augustfehn,,48086,53.220894,7.759622,1,
Augustfehn,48086,482516,53.220844,7.75963,,
Bad Bentheim,,594834,52.30985,7.158539,1,
Bad Bentheim,594834,545791,52.30985,7.158539,,
Bad Bentheim(Gr),,304890,52.3091,7.04016,1,
Bad Bentheim(Gr),304890,542246,52.3091,7.04016,,
Bad Bevensen,,363479,53.078247,10.574141,1,
Bad Bevensen,363479,166461,53.07822,10.574081,,
Bad Bevensen,363479,339261,53.078274,10.574201,,
Bad Endorf,,570028,47.904766,12.302122,1,
Bad Endorf,570028,308470,47.905067,12.301558,,
Bad Gastein,,213407,47.111774,13.131945,1,
Bad Gastein,213407,83552,47.111774,13.131945,,
Bad Hersfeld,,558630,50.869766,9.716581,1,
Bad Hersfeld,558630,191497,50.869766,9.716581,,
Bad Hofgastein,,259571,47.195713,13.100939,1,
Bad Hofgastein,259571,591228,47.195713,13.100939,,
Bad Kleinen,537219,504888,53.766975,11.466925,,
Bad Kleinen Bhf,,537219,53.76746,11.466429,1,
Bad Nauheim,378331,334438,50.367905,8.749334,,
Bad Nauheim Bahnhof,,378331,50.367798,8.748327,1,
Bad Oeynhausen,481796,84986,52.2054,8.796523,,
"Bad Oeynhausen, Bf/ZOB",,481796,52.2054,8.796519,1,
Bad Schandau,333385,139910,50.91929,14.137538,,
Bad Schandau Nationalparkbahnhof,,333385,50.91927,14.138099,1,
Bad Zwischenahn,,459929,53.182568,8.002996,1,
Bad Zwischenahn,459929,472593,53.18242,8.003398,,
Baden(CH),,297305,47.476425,8.307709,1,
Baden(CH),297305,244197,47.476425,8.307709,,
Baden-Baden,,570399,48.7902,8.191036,1,
Baden-Baden,570399,60750,48.790325,8.190831,,
Bamberg,,184734,49.90076,10.899484,1,
Bamberg,184734,134485,49.90076,10.899489,,
Basel Bad Bf,,471885,47.567287,7.607805,1,
Basel Bad Bf,471885,308414,47.567287,7.607805,,
Basel SBB,,125108,47.547405,7.589551,1,
Basel SBB,125108,616869,47.547405,7.589551,,
Bebra,,675050,50.969566,9.797788,1,
Bebra,675050,174268,50.969566,9.797788,,
Bensheim,203073,15385,49.681328,8.616717,,
"Bensheim, Bahnhof",,203073,49.681805,8.616955,1,
Bergen Bahnhof,,338956,54.420822,13.418737,1,
Bergen auf Rügen,338956,7266,54.4205,13.417821,,
Berlin Gesundbrunnen,589917,453983,52.548573,13.390519,,8
Berlin Gesundbrunnen,589917,521071,52.548485,13.390691,,9
Berlin Gesundbrunnen,589917,528164,52.54869,13.390501,,7
Berlin Gesundbrunnen,589917,557961,52.548794,13.3904,,6
Berlin Gesundbrunnen,589917,624450,52.548386,13.390704,,10
Berlin Gesundbrunnen,589917,72568,52.548885,13.39039,,5
Berlin Hbf,627401,126909,52.52519,13.369752,,7
Berlin Hbf,627401,128119,52.525143,13.369612,,6
Berlin Hbf,627401,16400,52.524998,13.369061,,2
Berlin Hbf,627401,353882,52.52496,13.368911,,1
Berlin Hbf,627401,409514,52.524788,13.369667,,11
Berlin Hbf,627401,412089,52.524967,13.369527,,13
Berlin Hbf,627401,45682,52.52488,13.369627,,12
Berlin Hbf,627401,518496,52.525223,13.369887,,8
Berlin Hbf,627401,520347,52.525097,13.369321,,4
Berlin Hbf,627401,578439,52.52506,13.369167,,3
Berlin Hbf,627401,617021,52.52511,13.369472,,5
Berlin Hbf,627401,81409,52.52507,13.369501,,14
Berlin Ostbahnhof,225571,19597,52.510242,13.434586,,1
Berlin Ostbahnhof,225571,202789,52.510178,13.434942,,2
Berlin Ostbahnhof,225571,363112,52.510414,13.435172,,6
Berlin Ostbahnhof,225571,444314,52.510254,13.435024,,3
Berlin Ostbahnhof,225571,573682,52.510475,13.43524,,7
Berlin Ostkreuz,358072,264323,52.503067,13.469961,,14
Berlin Ostkreuz,358072,273128,52.503128,13.469622,,13
Berlin Ostkreuz,358072,307730,52.50304,13.468615,,2
Berlin Ostkreuz,358072,79387,52.502907,13.468553,,1
Berlin Zoologischer Garten,215252,246719,52.507717,13.332555,,4
Berlin Zoologischer Garten,215252,386521,52.507652,13.332804,,2
Berlin Zoologischer Garten,215252,423562,52.50762,13.332927,,1
Berlin Zoologischer Garten,215252,444335,52.50768,13.332686,,3
Berlin-Charlottenburg,86695,546150,52.504173,13.301819,,3
Berlin-Lichtenberg,151948,142897,52.510124,13.496304,,21
Berlin-Lichtenberg,151948,625948,52.510002,13.49649,,17
Berlin-Spandau,606188,40494,52.534485,13.1971,,6
Berlin-Spandau,606188,512913,52.534542,13.197124,,5
Berlin-Spandau,606188,6540,52.5346,13.197163,,4
Berlin-Spandau,606188,67425,52.534668,13.197191,,3
Berlin-Wannsee,430363,540866,52.42135,13.180446,,6
Berlin-Wannsee,430363,556681,52.421402,13.180358,,5
Bern,,62043,46.948833,7.439131,1,
Bern,62043,661740,46.948833,7.439131,,
Bernau(b Berlin),624383,221739,52.67533,13.592016,,5
Bernau(b Berlin),624383,81578,52.675426,13.591859,,4
Biberach ZOB/Bahnhof,,600331,48.101456,9.792795,1,
Biberach(Riß),600331,526271,48.101845,9.793127,,
Bielefeld Hbf,,584101,52.029263,8.53272,1,
Bielefeld Hbf,584101,596921,52.029263,8.532722,,
Bingen(Rhein) Hbf,406295,460567,49.968727,7.884263,,
"Bingen, Hauptbahnhof",,406295,49.96874,7.883543,1,
Binz (Ostseebad),,321243,54.404823,13.600502,1,
Bischofshofen,,542441,47.41786,13.219888,1,
Bischofshofen,542441,314316,47.41786,13.219888,,
Bitterfeld,,340364,51.62286,12.31685,1,
Bitterfeld,340364,624050,51.62286,12.31685,,
Bludenz,,202265,47.154724,9.814564,1,
Bludenz,202265,626365,47.154724,9.814564,,
Bochnia,,446267,49.9773,20.430775,1,
Bochnia,446267,377195,49.9773,20.430775,,
Bochum Hbf,,564346,51.479465,7.223335,1,
Bochum Hbf,564346,568799,51.478607,7.223275,,
Bohumin,,477393,49.90073,18.359444,1,
Bohumin,477393,389119,49.90073,18.359444,,
Bolzano/Bozen,,46043,46.496376,11.358791,1,
Bolzano/Bozen,46043,487022,46.496376,11.358791,,
Bondorf,,611993,48.52327,8.827879,1,
Bondorf(b Herrenberg),611993,334652,48.523552,8.827662,,
Bonn Beuel Bf,,108906,50.738476,7.127656,1,
Bonn Hbf,,231361,50.732006,7.097131,1,
Bonn Hbf,231361,553289,50.73187,7.096987,,
Bonn-Beuel,108906,513117,50.738728,7.126748,,
Boppard Hauptbahnhof,,171095,50.231403,7.586084,1,
Boppard Hbf,171095,2992,50.231422,7.586014,,
Bratislava hl.st.,,390629,48.15891,17.106466,1,
Bratislava hl.st.,390629,413078,48.15891,17.106466,,
Braunschweig Hbf,560441,555222,52.252216,10.540295,,
"Braunschweig, Hauptbahnhof",,560441,52.252644,10.539547,1,
Breclav,,217380,48.7539,16.893236,1,
Breclav,217380,473713,48.7539,16.893236,,
Breclav(Gr),,651718,48.71265,16.86837,1,
Breclav(Gr),651718,604700,48.71265,16.86837,,
Bregenz,,81750,47.503002,9.739627,1,
Bregenz,81750,492536,47.503002,9.739627,,
Bregenz Riedenburg,,397908,47.49291,9.721313,1,
Bregenz Riedenburg,397908,195188,47.49291,9.721313,,
Bremen Hbf,,446167,53.083256,8.813857,1,
Bremen Hbf,446167,204132,53.083275,8.813879,,
Bremen Hbf,446167,297487,53.083073,8.813611,,
Bremen Hbf,446167,375154,53.083355,8.813982,,
Bremen Hbf,446167,446015,53.082947,8.813447,,
Bremen Hbf,446167,620055,53.08342,8.814067,,
Bremen Hbf,446167,645499,53.0835,8.81418,,
Bremen Hbf,446167,65321,53.083565,8.81426,,
Brennero/Brenner,,32208,47.002342,11.505426,1,
Brennero/Brenner,32208,74042,47.002342,11.505426,,
Bressanone/Brixen,,456854,46.709896,11.649764,1,
Bressanone/Brixen,456854,70937,46.709896,11.649764,,
Brig,,624374,46.319424,7.988095,1,
Brig,624374,61176,46.319424,7.988095,,
Brno hl.n.,,6199,49.19054,16.612774,1,
Brno hl.n.,6199,285391,49.19054,16.612774,,
Bruchsal,,384869,49.124924,8.590347,1,
Bruchsal,384869,365443,49.124622,8.589649,,
Brugg AG,,474214,47.48086,8.208845,1,
Brugg AG,474214,445419,47.48086,8.208845,,
Bruxelles Midi,,30606,50.835377,4.335694,1,
Bruxelles Midi,30606,386856,50.835377,4.335694,,
Bruxelles-Nord,,605851,50.860237,4.361454,1,
Bruxelles-Nord,605851,280182,50.860237,4.361454,,
Buchloe,,201602,48.033722,10.716219,1,
Buchloe,201602,177630,48.033722,10.716217,,
Budapest-Kelenföld,,213329,47.464355,19.020456,1,
Budapest-Kelenföld,213329,501790,47.464355,19.020456,,
Budapest-Keleti,,539385,47.50038,19.085072,1,
Budapest-Keleti,539385,269805,47.50038,19.085072,,
Budapest-Nyugati,,78405,47.510708,19.057467,1,
Budapest-Nyugati,78405,303241,47.510708,19.057467,,
