route_id,service_id,trip_id
1,1003,936524
1,115,397387
1,124,794656
1,258,242095
1,260,502098
1,260,745010
1,261,818557
1,261,862840
1,272,816857
1,312,917156
1,372,808
1,43,482095
1,433,228243
1,433,761496
1,445,476607
1,470,1192512
1,534,847377
1,549,1287321
1,579,16463
1,61,180371
1,72,884176
1,761,1521092
1,768,753413
1,772,544064
1,790,504578
1,837,735162
1,923,233797
1,924,540843
1,938,906432
1,945,960037
1,950,1266608
1,950,536551
1,950,814432
1,958,1010906
1,969,227616
1,971,145794
1,987,805986
10,1009,986319
10,122,1387731
10,196,1031585
10,196,252565
10,286,122999
10,370,154051
10,370,85065
10,406,789592
10,41,472068
10,432,1522520
10,621,698762
10,897,293973
10,950,725916
10,950,994909
10,958,1016556
10,958,1366627
10,958,1385782
10,958,260310
10,958,690687
10,958,870180
10,967,841612
10,984,752446
10,991,755853
11,3,960178
11,330,639076
11,584,246498
11,584,39483
11,779,1533581
12,231,78545
12,352,1233508
12,41,1456215
12,426,649155
12,436,100849
12,584,97368
12,621,1405978
12,669,139273
12,692,1169731
12,721,993478
12,880,117600
13,1008,1476102
13,160,1473600
13,160,663274
13,160,690902
13,164,364794
13,183,669133
13,196,1022202
13,196,1333268
13,196,137403
13,196,1426957
13,196,1431385
13,196,169591
13,196,203207
13,196,267279
13,196,777244
13,196,889737
13,196,976791
13,22,1005912
13,22,1112890
13,22,1230758
13,22,299494
13,22,651818
13,22,662049
13,22,887167
13,225,12319
13,261,1013982
13,261,170407
13,261,281402
13,261,305809
13,261,523874
13,261,661209
13,261,840730
13,288,1452815
13,300,1082427
13,300,562090
13,318,198688
13,364,386901
13,457,847894
13,593,808932
13,676,1174386
13,8,654610
13,8,770587
13,912,510558
13,92,184118
13,943,851234
13,950,344448
13,950,627505
13,951,1297349
14,672,1102606
14,672,457528
14,672,536665
15,1009,1438052
15,101,101138
15,1019,950548
15,108,1398119
15,118,614059
15,124,1052842
15,164,45718
15,196,271953
15,229,296426
15,260,900191
